"movie_id","title","director","budget","summary","countary"
"tt0468569","The Dark Knight (2008) - IMDb","Christopher Nolan",185000000,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","United States"
"tt7286456","Joker (2019) - IMDb","Todd Phillips",55000000,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","United States"
"tt0372784","Batman Begins (2005) - IMDb","Christopher Nolan",150000000,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","United States"
"tt1345836","The Dark Knight Rises (2012) - IMDb","Christopher Nolan",250000000,"Eight years after the Joker&apos;s reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","United States"
"tt0096895","Batman (1989) - IMDb","Tim Burton",35000000,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","United States"
